system_weight,bias_0,bias_1,bias_2,bias_3,bias_4,target
0.70892483,0.23363945,0.11331696,0.1369416,0.2026335,-0.39231357,0
0.7097127,-0.30667195,0.16913435,-0.46152338,0.02596151,0.64236426,1
0.70894855,0.15146641,-0.31142437,-0.34057668,-0.07730813,-0.77461284,0
0.70848197,0.6835371,0.059887476,-0.64808315,0.44735786,-0.05904844,1
0.7090067,0.0055359597,0.5871092,0.4370875,0.46162328,0.115975864,0
0.7091,-0.100464515,-0.17482068,0.63220143,-0.8206685,0.3767701,1
0.7090207,0.5145207,-0.37638223,0.29093665,-0.65012586,0.12042505,0
0.7090589,0.57283324,0.13761388,0.37441862,-0.49342287,0.2310146,1
0.7087395,0.40621603,-0.22863987,-0.8057258,-0.38769227,-0.24010861,0
0.70924044,-0.5651598,-0.6636287,0.2812265,0.8399745,-0.22769934,1
0.7094149,-0.40170118,-0.37461942,-0.24377716,0.4668642,0.71662724,0
0.70853657,0.007910758,-0.10584579,0.6336179,-0.54988766,-0.26826245,1
0.70870656,-0.6738376,0.3522327,-0.29020107,0.5541091,0.26825732,0
0.7081409,0.79679906,-0.59342635,0.28940386,0.2915397,0.91990155,1
0.7086653,0.66438603,0.45926768,-0.46749333,-0.22392306,0.28035372,0
0.7093987,0.64701307,-0.19376224,0.2003227,-0.1294322,0.33889982,1
0.70854914,0.1602773,-0.3627443,0.48276582,0.022659512,-0.52430236,0
0.70816374,0.3505666,0.30301648,-0.6999692,0.4339873,0.019293338,1
0.7084292,0.75361884,-0.2724967,-0.7049577,-0.23524547,-0.40833798,0
0.7088654,-0.43748358,-0.86855966,0.21825393,-0.46637946,0.24330246,1
0.7088946,0.045964252,0.5019344,-0.77087605,0.3099811,-0.5084616,0
0.708941,0.45076805,0.7849353,-0.042563252,-0.37517685,-0.52690136,1
0.7085014,0.5024605,-0.12212554,-0.7462505,-0.16168113,-0.46337727,0
0.70808834,-0.6605718,-0.24802883,-0.21261168,-0.5902138,-0.04654855,1
0.70852137,-0.39874303,-0.17908628,0.571385,-0.7256793,-0.15395254,0
0.7087989,0.18305974,-0.38265103,0.0089874705,-0.6503004,0.4438689,1
0.70808524,0.26498905,-0.47590083,0.14027296,-0.2127773,0.16964537,0
0.70815915,-0.44418097,-0.21871236,0.081202574,0.20983449,0.5284608,1
0.7086484,0.31810236,-0.5123882,-0.319501,-0.056558747,-0.28045648,0
0.7087617,-0.056237523,0.17052315,-0.5480219,0.082845,-0.11073452,1
0.7090004,-0.47198734,-0.0352628,0.3912396,-0.62331253,-0.26379025,0
0.7085867,0.19912972,-0.1309146,-0.06458116,0.18716155,0.36116242,1
0.7083457,-0.193362,-0.2620643,-0.0023385233,-0.5360524,0.121622264,0
0.70826244,-0.43663645,0.37405047,-0.6300249,-0.49128893,0.42248592,1
0.7084614,-0.4393625,-0.39012507,-0.43620783,0.30098152,0.32641223,0
0.70902705,0.6151286,-0.9785235,-0.366668,0.13012126,0.070793785,1
0.70834297,-0.14874126,-0.050623193,0.2608342,0.07703303,0.16301987,0
0.7082851,0.71160096,0.6431669,0.21998483,-0.051070753,-0.46680617,1
0.7089361,-0.38251996,-0.15058844,-0.22454749,-0.094927326,0.3395674,0
0.70879865,0.41347083,-0.18608987,-0.3427408,-0.19587904,0.4481342,1
0.7088493,0.17149624,-0.46330288,0.11133956,0.510194,0.68643177,0
0.7087152,-0.025953736,0.3261034,-0.47289458,-0.18457596,0.49764973,1
0.7088026,-0.1591568,0.80188453,0.53274786,0.029125873,0.5450867,0
0.70809096,0.48974568,-0.48781204,-0.21262935,0.28341737,-0.7104596,1
